CID	LBC 1	LBCeq	pH 2	Ca	K	Mg	Mn	P	Zn
240575	160	399	5.93	270	58.1	43.0	12.77	6.52	2.47
240576	195	528	5.79	354	42.4	63.1	18.60	10.87	2.13
240578	134	304	6.55	396	30.4	87.8	8.45	18.89	1.56
240579	159	395	6.42	372	49.9	50.8	10.57	20.40	1.46
240580	146	348	6.20	294	114.8	36.0	9.86	11.72	2.37
240595	375	1088	5.56	644	126.7	57.6	38.23	45.54	4.60
240596	338	980	5.53	541	87.5	58.8	35.16	40.16	3.28
240597	295	856	6.12	592	139.3	82.6	31.51	55.32	2.51
240599	203	557	5.90	486	56.2	54.9	18.66	13.10	2.53
240600	163	410	6.01	268	60.1	37.8	16.90	12.12	1.24
240601	189	506	5.78	360	54.1	47.5	20.10	15.44	5.30
240603	184	487	5.52	238	43.0	32.8	19.28	8.26	1.53
240604	188	502	5.52	239	49.5	30.6	19.69	9.69	1.56
240605	196	531	6.41	327	149.2	44.0	20.60	15.66	2.25
240607	191	513	6.41	402	93.7	46.4	21.71	15.29	2.05
240608	170	436	6.33	401	49.9	57.3	18.69	15.51	1.50
240609	230	656	6.54	625	70.9	112.0	25.24	23.46	2.33
240611	171	439	7.14	551	86.0	94.9	21.98	16.20	3.02
240612	192	517	6.69	525	82.6	86.6	25.09	19.74	2.79
240613	225	638	6.47	551	88.4	89.4	22.21	35.10	2.78
240615	161	403	6.36	285	58.6	56.1	12.61	19.63	1.39
240616	176	458	6.21	370	61.7	84.0	13.73	20.73	1.39
240617	139	322	6.42	206	65.0	28.7	10.24	12.59	3.29
240619	175	454	6.56	416	72.4	54.4	18.43	9.13	2.00
240620	180	473	6.39	431	72.5	56.2	18.93	11.12	2.06
240621	162	406	6.63	359	73.0	57.2	16.38	10.13	1.40
240623	169	432	6.36	291	114.7	39.8	13.74	13.01	2.54
240624	145	344	6.14	317	81.1	46.3	15.24	13.40	3.10
240625	203	557	6.75	669	152.8	88.1	21.24	22.75	3.94
240627	190	509	6.82	544	128.5	106.6	21.19	21.91	2.10
240628	217	608	6.54	446	95.4	85.5	18.48	19.11	1.46
240629	232	663	6.22	576	118.9	80.8	25.81	39.13	3.71
240631	173	447	6.61	381	124.7	47.7	20.19	21.68	1.70
240632	173	447	6.11	372	92.1	53.4	21.95	18.54	1.96
240633	182	480	6.26	327	76.1	52.3	18.55	12.75	1.87
240635	169	432	5.64	293	69.6	31.4	18.63	24.79	2.25
240636	194	524	5.66	270	61.1	32.2	21.77	15.88	1.78
240637	189	506	6.83	434	141.6	73.9	18.77	18.66	6.29
240639	156	384	6.13	301	51.4	55.0	14.76	20.64	9.98
240640	172	443	6.28	359	48.1	56.2	15.92	18.47	7.05
240641	237	682	6.26	697	78.3	105.5	25.53	35.74	3.98
240643	133	300	7.13	609	105.1	114.9	24.97	19.06	3.34
240644	142	333	6.86	516	68.7	85.5	22.41	18.00	2.43
240645	198	539	6.97	530	79.9	82.6	21.21	17.16	2.44
240647	194	524	7.28	620	74.1	144.6	17.82	33.91	2.15
240648	202	553	6.75	544	64.2	89.5	18.86	32.35	2.29
240649	166	421	6.54	310	87.0	43.8	16.68	16.53	1.79
240651	131	293	6.37	281	29.9	42.7	9.89	12.10	1.84
240652	155	381	6.56	250	55.0	39.6	10.34	15.87	1.33
240653	164	414	6.00	304	75.4	41.7	12.11	16.62	1.97
240655	205	564	6.01	463	97.5	95.3	17.89	27.78	3.79
240656	208	575	5.95	341	66.0	47.6	17.05	24.29	2.65
240657	215	601	6.47	564	152.6	66.4	22.15	36.03	3.99
240659	243	704	5.83	506	135.6	59.5	29.33	29.10	3.24
240660	236	678	5.68	458	87.9	52.1	26.43	34.62	2.92
240661	177	461	6.86	607	117.3	110.3	23.83	31.63	2.13
240663	203	557	5.65	359	71.3	45.2	19.32	22.60	3.68
240664	155	381	5.90	307	49.6	38.0	17.49	23.20	3.84
240665	277	803	5.55	409	84.3	36.2	25.72	34.87	3.57
240667	204	561	5.68	324	58.4	34.8	22.25	16.34	2.09
240668	195	528	5.73	282	68.6	31.3	19.57	19.10	1.42
240669	182	480	5.96	317	62.8	27.6	17.79	18.40	1.72
240671	211	586	6.82	533	95.9	64.1	16.74	24.73	2.12
240672	195	528	6.45	784	105.1	71.6	17.92	162.52	2.58
240673	197	535	6.80	473	81.4	71.7	14.96	18.45	3.15
240675	171	439	7.02	617	163.5	65.7	20.15	25.26	3.10
240676	196	531	6.91	569	76.7	95.0	16.97	18.13	2.03
240677	193	520	7.02	764	84.5	95.9	19.08	30.59	3.28
240679	149	359	6.78	310	33.0	50.1	13.69	18.80	2.09
240680	154	377	6.61	354	51.3	58.4	16.39	17.95	2.20
240681	199	542	6.91	500	132.4	52.6	15.63	24.44	3.19
240683	187	498	6.16	425	71.3	53.3	14.62	12.74	2.51
240684	184	487	6.63	432	96.6	51.5	13.91	19.38	2.13
