Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body
24,250391,Bt1,Probe,Stilson?,60-87,27,C,10YR5/6,,Not Found,,,,,1MSBK,,few VF roots,4/17/2025,,,,,,,
24,250392,Bt2,Probe,Stilson?,87-101,14,C,10YR5/8,,Not Found,,,,,1MSBK,,few VF roots,4/17/2025,,,,,,,
24,250393,Bt3,Probe,Stilson?,101-136,35,A,10YR4/6,,Not Found,,,,,1MSBK,,"Mn, many, large, 10YR2/1. many VF roots, ",4/17/2025,,,,,Yes,,
24,250394,Bt4,Probe/Auger,Stilson?,136-150+,14,,10YR5/8,,Not Found,,,,,1MSBK,,"few Mn, many soft iron conc. 7.5YR4/6.",4/17/2025,,,,,,,
25,250395,Ap1,Probe,,0-24,24,C,7.5YR4/3,,Not Found,,,,,1MGr,,F roots,4/17/2025,,,,,,,
25,250396,Ap2,Probe,,24-45,21,A,7.5YR4/4,,Not Found,,,,,1MGr,,VF roots common,4/17/2025,,,,,,,
25,250397,Ab,Probe,,45-90,45,A,7.5YR3/2,,Not Found,,,,,2MSBK,,moisture present. 5YR4/6 concentrations. VF roots,4/17/2025,,,,,Yes,,
25,250398,Eb1,Probe,,90-117,27,Gr,10YR4/4,,Not Found,,,,,1MSBK,,,4/17/2025,,,,,,,
25,250399,Eb2,Probe,,117-163,46,C,10YR5/6,,Not Found,,,,,1MSBK,,few 10YR5/8  concentrations,4/17/2025,,,,,Yes,,
25,250400,Eb3,Auger,,163-183,20,C,2.5Y6/4,,Not Found,,,,,1MSBK,,"2.5Y7/2 depletions, 5%",4/17/2025,170,,,Yes,,,
25,250401,Btb,Auger,,183-200+,17,,10YR6/6,,Not Found,,,,,1MSBK,,"2.5Y7/2 depletions, 3%. 10YR5/6 concentrations, 10%.",4/17/2025,,,,Yes,Yes,,
26,250498,Ap,Probe,,0-20,20,C,10YR3/4,,Not Found,,,,,1MGr,,few VF roots,4/30/2025,,,,,,,
26,250499,BA,Probe,,20-42,22,C,7.5YR4/4,,Not Found,,,,,2CoSBK,,"dark organic stains, charcoal few VF roots",4/30/2025,,,Yes,,,,
26,250500,Bt1,Probe,,42-73,31,Gr,5YR4/6,,Not Found,,,,,2CoSBK,,"organic stains, stripped root channels few VF roots",4/30/2025,,,,,,,
26,250501,Bt2,Probe,,73-101,28,Gr,5YR5/8,,Not Found,,,,,1MSBK,,few VF roots,4/30/2025,,,,,,,
26,250502,Bt3,Probe/Auger,,101-150+,49,,5YR5/8,,Not Found,,,,,1MSBK,,few VF roots,4/30/2025,,,,,,,
27,250508,Ap,Probe,,0-30,30,C,5YR4/6,,Not Found,,,,,1MGr,,"mixed, vf roots, 40% 2.5YR4/6",4/30/2025,,,,,,,
27,250509,BA,Probe,,30-52,22,Gr,2.5YR4/6,,Not Found,,,,,2CoSBK,,VF roots,4/30/2025,,,,,,,
27,250510,Bt1,Probe,,52-77,25,Gr,2.5YR4/6,,Not Found,,,,,2MSBK,,VF roots,4/30/2025,,,,,,,
27,250511,Bt2,Probe/Auger,,77-150+,73,,2.5YR3/6,,Not Found,,,,,2CoSBK,,VF roots common,4/30/2025,,,,,,,
28,250522,Ap1,Probe,,0-15,15,C,7.5YR4/4,,Not Found,,,,,1MGr,,VF roots common,4/30/2025,,,,,,,
28,250523,Ap2,Probe,,15-28,13,A,5YR4/4,,Not Found,,,,,1MSBK,,VF roots common,4/30/2025,,,,,,,
28,250524,Bt1,Probe,,28-52,24,Gr,2.5YR4/6,,Not Found,,,,,2MSBK,,VF roots common,4/30/2025,,,,,,,
28,250525,Bt2,Probe/Auger,,52-123,71,Gr,2.5YR3/6,,Not Found,,,,,2CoSBK,,"charcoal, few VF roots common",4/30/2025,,,Yes,,,,
28,250526,Bt3,Auger,,123-150+,27,,2.5YR3/6,,Not Found,,,,,2CoSBK,,VF roots common,4/30/2025,,,,,,,
